CLUB,DAY,Day of week,START,END,LINK,LOCATION,NOTE
Well-Spoken Professionals (WSP) Toastmasters Club,"Every second Monday, check calendar",1,12:00 PM,1:00 PM,Zoom: 717 1812 7908,Downtown Vancouver,Website calendar:  http://3638388.toastmastersclubs.org
DIVISION D,MONDAYS,1,7:00 PM,8:30 PM,"Zoom: 222 456 7777
Password: 113355",Northern BC communities,Joint meeting of several clubs in Northern BC
Marpole Toastmasters,MONDAYS,1,7:00 PM,9:00 PM,Zoom: 631 747 509,Marpole (Vancouver),please email to marpoletoastmaster@gmail.com for meeting password
Salsa Speakers,MONDAYS,1,6:30 PM,8:30 PM,Zoom: 235 609 473,Burnaby,
Sea To Sky Toastmasters,MONDAYS,1,6:30 PM,8:30 PM,Zoom: 830 2367 5746,Squamish,
Earth Aware Toastmasters,MONDAYS,1,7:00 PM,9:00 PM,Zoom: 640 049 465,South Granville (Vancouver),
Racquenteurs Toastmasters,MONDAYS,1,7:00 PM,9:00 PM,Zoom: 729 161 991,South Granville (Vancouver),
Rocky Point,MONDAYS,1,7:00 PM,9:00 PM,Zoom: 468 257 775,Port Moody,
Friendship Toastmasters,MONDAYS,1,7:15 PM,9:00 PM,Zoom 964 525 422,North Vancouver,
Tillicum Toastmasters,MONDAYS,1,7:30 PM,9:30 PM,Zoom: 867 6623 3978,New Westminster,
Beachcombers Advanced Toastmasters,2nd MONDAY,1,6:30 PM,8:30 PM,Zoom: 854926659,Sunshine Coast,Advanced Club
Downtown Xpress Toastmasters,TUESDAYS,2,11:30 AM,1:00 PM,Zoom: 569 774 818,Downtown Vancouver,
University Staff Toastmasters (UBC),TUESDAYS,2,12:00 PM,1:00 PM,Zoom: 644 493 288,Point Grey (UBC),
Harbourside Toastmasters,TUESDAYS,2,12:00 PM,1:00 PM,Zoom: 539642 836,North Vancouver,
Talk of the Town,TUESDAYS,2,12:00 PM,1:00 PM,Zoom: 423 017 742,Coquitlam,
FortiMasters,TUESDAYS,2,12:00 PM,1:00 PM,Zoom: 241 964 976,Burnaby,
DIVISION D,TUESDAYS,2,12:00 PM,1:00 PM,"Zoom: 222 456 7777
Password: 113355",Northern BC communities,Joint meeting of several clubs in Northern BC
BCSC Talking Watchdogs,TUESDAYS,2,12:00 PM,1:00 PM,Zoom 431-527-688,Downtown Vancouver,
District Dialoguers,TUESDAYS (every 2 weeks),2,12:00 PM,1:15 PM,Zoom: 883 3040 9003,North Vancouver,Meets every 2 weeks on Tuesdays starting May 12th 
Langara (College) Toastmasters,TUESDAYS,2,5:00 PM,6:00 PM,Zoom: 870 204 017,Langara (Vancouver),
Quay Speakers,TUESDAYS,2,5:15 PM,7:15 PM,"Zoom: 269 484 737
Enter password: 183491",North Vancouver,
Headliners  Toastmasters,2nd & 4th TUESDAYS,2,6:00 PM,8:00 PM,Zoom: 578 537 957,Downtown Vancouver,Next Meeting is on March 31
